app_name,category,appstore_link_url,img_src_url,star_rating,num_ratings
Magic Tiles 3: Piano Game,Games,https://apps.apple.com/gb/app/magic-tiles-3-piano-game/id1443446174?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/3a9916ea52a103cee874855542968f59010d52e74a04c45cee8fb50f642b9c0f.jpg,3.8,2.2K Ratings
My Vodafone,Utilities,https://apps.apple.com/gb/app/my-vodafone/id370901726?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/6a48e680d8e5f9f730f957119f42cab6073887136045b341d874314fd4799dc6.jpg,4.3,369.7K Ratings
Clawee,Games,https://apps.apple.com/gb/app/clawee/id1315539131?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/c1d28789be00ee9dcacfb6ef73b02dd93bb97b14dc231019016160cdd0e98c0b.jpg,4.4,4.8K Ratings
Microsoft OneDrive,Productivity,https://apps.apple.com/gb/app/microsoft-onedrive/id477537958?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/9f1499962c35163e3470cddf93df6606ba94c5d2886425f2dbb876149ce8f938.jpg,4.6,52.8K Ratings
Santander Mobile Banking,Finance,https://apps.apple.com/gb/app/santander-mobile-banking/id482973524?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/758fbcfd305a3f11518bb5717b68a49db8e454c23cd797587070d393c3ed7cc2.jpg,4.8,419.4K Ratings
Bus Simulator : Ultimate,Games,https://apps.apple.com/gb/app/bus-simulator-ultimate/id1461749632?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/eca9fa2e84fd30e272cd07b363103409abf69e4149cc9ee2543170d2093bb0dd.jpg,4.1,229 Ratings
NatWest Mobile Banking,Finance,https://apps.apple.com/gb/app/natwest-mobile-banking/id334855322?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/cbaefb878087484ac506522d711ee90ca9dea48e0ddba57c9539db41df753c08.jpg,4.5,19K Ratings
Shazam,Music,https://apps.apple.com/gb/app/shazam/id284993459?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/3c3bc99866aa9921f325e8b4a7c5bc1f28fa028e6b9bc1112941c9410c878d21.jpg,4.9,694.4K Ratings
Ryanair,Travel,https://apps.apple.com/gb/app/ryanair/id504270602?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/df0ef168efd1a9af117a86ae9c0b51947deb64ed28a0ed83ac31c4f964a904fc.jpg,4.4,204.7K Ratings
Ulala: Idle Adventure,Games,https://apps.apple.com/gb/app/ulala-idle-adventure/id1473544990?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/34b09626390e47a52d26bf7d175dbcb005483a2824645667a351f2c399296bfe.jpg,4.6,320 Ratings
easyJet: Travel App,Travel,https://apps.apple.com/gb/app/easyjet-travel-app/id483568103?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/a3b227d89d09b11b775627ccf64970f636513fcea4a79ee3d2c786ab206a3b07.jpg,4.8,340.4K Ratings
Zipline Valley,Games,https://apps.apple.com/gb/app/zipline-valley/id1470146913?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/6ba9ebdabd93b5bc8452c284e5988b1d04c00c106c8cb528734d48ef67e73640.jpg,4.3,49 Ratings
Barclays,Finance,https://apps.apple.com/gb/app/barclays/id536248734?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/9993eaa262a36edfb40170c60c6150356f24b25e4f98389061075d04dfbbf508.jpg,4.8,856.2K Ratings
"Avatar Keyboard-Themes, Emojis",Utilities,https://apps.apple.com/gb/app/avatar-keyboard-themes-emojis/id1454513174?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/acc1052dbbc3803c27e05b222d4ac87c9916eeece0347aa92e9830a1c370c1e4.jpg,4.3,4.8K Ratings
Waze Navigation & Live Traffic,Navigation,https://apps.apple.com/gb/app/waze-navigation-live-traffic/id323229106?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/ed99d47a9bf7b8968fa3d58cee73da9fd206975e80ab2f483ccc850e719c491c.jpg,4.3,10.6K Ratings
LinkedIn,Social Networking,https://apps.apple.com/gb/app/linkedin/id288429040?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/e23e10c931804e924e47b56b88d79ad5d02d2d5fd613b1422a567e99f72f25bd.jpg,4.3,8.2K Ratings
Calm - Meditation and Sleep,Health & Fitness,https://apps.apple.com/gb/app/calm-meditation-and-sleep/id571800810?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7c3f0b0b3982500c19622e92f73d0e06a50b64f9002da41b149b94fd3818bbfd.jpg,4.7,95.5K Ratings
Dig it!,Games,https://apps.apple.com/gb/app/dig-it/id1453411110?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/2a32da1da9c3e9f42d26909ea04773ab1dd6b3b5925cc41fea3de655d4e6209f.jpg,4.6,24.1K Ratings
HSBC UK Mobile Banking,Finance,https://apps.apple.com/gb/app/hsbc-uk-mobile-banking/id1220329065?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/54eda6fd613b4b5a3bc4c4f64465383aa2df7a0451dc4da76564eae3b626df24.jpg,4.8,543.6K Ratings
Indeed Job Search,Business,https://apps.apple.com/gb/app/indeed-job-search/id309735670?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/038f996240fe5c289aa397b7946db0f0f02b8a6a88f6925381a76fb3462ec98c.jpg,4.5,48.4K Ratings
BBC Sounds,Music,https://apps.apple.com/gb/app/bbc-sounds/id1380676511?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7f697313c85419ffc88af9a5bee28fdd33c79801a3ecbcddf000cf8e312b97cd.jpg,4.2,4.1K Ratings
VSCO: Photo & Video Editor,Photo & Video,https://apps.apple.com/gb/app/vsco-photo-video-editor/id588013838?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/3dcc266da50a14c56c1b441335682eec816a981a9de36dea8769fd0e92550acd.jpg,4.1,1.9K Ratings
Purple Diver,Games,https://apps.apple.com/gb/app/purple-diver/id1453402726?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/0536848a338d49f6061e2f166287fcd643efad1d9571645804ee261fa126994b.jpg,4.4,19.2K Ratings
Sticky Block,Games,https://apps.apple.com/gb/app/sticky-block/id1465856936?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/be9208304a074d30ae471d84bc7b212db29673b02273ae2be88fe068820e2c9e.jpg,4.5,5.3K Ratings
Duolingo,Education,https://apps.apple.com/gb/app/duolingo/id570060128?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/19bd9ac3f32b42c68d3b764174d34443d0d6be7eec19670e87aa67a8b1312443.jpg,4.7,117.9K Ratings
Gumtree: Find Deals Near You,Shopping,https://apps.apple.com/gb/app/gumtree-find-deals-near-you/id487946174?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/3147641b6e9fd4196823f41f360355997642b01ed47d5d0012df28b46b0de3f3.jpg,4.7,289.3K Ratings
Polysphere,Games,https://apps.apple.com/gb/app/polysphere/id1440756080?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/527053dfe5a431ca2f13ef4882cf68cfa439870c5d242c8f8ed1d37ec278fd7b.jpg,4.5,35.2K Ratings
Archery Go - Bow&Arrow King,Games,https://apps.apple.com/gb/app/archery-go-bow-arrow-king/id1455330046?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/c8ccfc7ffcab30015a7f9911d602746ef7b352f082ed38ead4938ca041734a11.jpg,4.5,9.7K Ratings
Thief Simulator Sneak Robbery,Games,https://apps.apple.com/gb/app/thief-simulator-sneak-robbery/id1468094014?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/f20e97cfcfba4ed59bc69fd9985e0a967c281355610240e98689d8a2c2c3ffdc.jpg,3.9,143 Ratings
Hollo Ball,Games,https://apps.apple.com/gb/app/hollo-ball/id1455548648?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/988fac0017490ae59347148f773a31675a33941e0df420f8c64fbc3172420d6d.jpg,4.5,650 Ratings
Booking.com Travel Deals,Travel,https://apps.apple.com/gb/app/booking-com-travel-deals/id367003839?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/dee7cc02ac41d1385eac1f6c4bc126fb90286a917916ed9bc981d31e6c1dc108.jpg,4.8,540.4K Ratings
8 Ball Pool™,Games,https://apps.apple.com/gb/app/8-ball-pool/id543186831?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/02a635632068c6de73bad8169fe1266565ab2a13c4e2116f3f3f3296821f8ae2.jpg,4.7,295.5K Ratings
MyFitnessPal,Health & Fitness,https://apps.apple.com/gb/app/myfitnesspal/id341232718?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/94408023db086c15960fec23c55250a29b3b9c27506383bcba29f5b1310cd28e.jpg,4.7,153.4K Ratings
Perfect Slices,Games,https://apps.apple.com/gb/app/perfect-slices/id1475972538?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/f47677f36016e34295e2c131ff549a833294e172dd29a9263681ead6bf254a69.jpg,4.6,5.7K Ratings
Google Photos,Photo & Video,https://apps.apple.com/gb/app/google-photos/id962194608?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/d5f36cd94b34eaa2b8e0cbe42fb741f351568c94355b0b019538ee7d17e710b7.jpg,4.7,19.9K Ratings
Mr Bullet - Spy Puzzles,Games,https://apps.apple.com/gb/app/mr-bullet-spy-puzzles/id1449014713?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/af880d2cd9dac8bc87608f6e8bba027742972758b0c925e5540f4c291a358a1d.jpg,4.6,11.4K Ratings
"Google Docs: Sync, Edit, Share",Productivity,https://apps.apple.com/gb/app/google-docs-sync-edit-share/id842842640?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/a43cfb3a772d1818039ddec529aa1d21328912844dcd3c14920a614303172766.jpg,4.7,58.3K Ratings
AliExpress Shopping App,Shopping,https://apps.apple.com/gb/app/aliexpress-shopping-app/id436672029?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/a79706c8b537bb510c85ad11ae246df5455d2b32ee6518a4780042dc7151a886.jpg,4.7,13.4K Ratings
Bemoji | Your 3D Avatar Emoji,Utilities,https://apps.apple.com/gb/app/bemoji-your-3d-avatar-emoji/id1457672508?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/1943f5af61e2fc083b0c065ba947008f93be8f7dac6a3e1761b44b1b66aa7e60.jpg,2.6,93 Ratings
Super Mario Run,Games,https://apps.apple.com/gb/app/super-mario-run/id1145275343?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/514a1cf0f9556e1d3cc34db13e0c6f5aaeac25effdf14da5be7d1ad34ba2c482.jpg,3.6,4.6K Ratings
Idle Evil Clicker,Games,https://apps.apple.com/gb/app/idle-evil-clicker/id1350465370?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/55ff3d89fe5c422f41bd0c7c48c15caf38734ef36bc34c997b0f110a56db85b1.jpg,4.3,407 Ratings
Color Fill 3D,Games,https://apps.apple.com/gb/app/color-fill-3d/id1473024868?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/dcc8f5086a03884fe01617fe3054fa51dfa75a37a526df9b7180c29dd8925acf.jpg,4.5,5.8K Ratings
Let Me Out - Addictive Puzzle,Games,https://apps.apple.com/gb/app/let-me-out-addictive-puzzle/id1440451402?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/c567be7f96cc6d3758e269098d9d09541131b7425ec2d1640324c240a564a270.jpg,4.6,13.1K Ratings
Uber Eats: Food Delivery,Food & Drink,https://apps.apple.com/gb/app/uber-eats-food-delivery/id1058959277?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/ad1f6683babb36ba9532abb2445dc45b638ddfb18387420934abaac7fb110efd.jpg,4.7,173K Ratings
Uber,Travel,https://apps.apple.com/gb/app/uber/id368677368?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/4b480de8938e03717d6824ada5dd78da56fff42710e137f9cfd1819243ada055.jpg,4.6,112.6K Ratings
Clean Up 3D,Games,https://apps.apple.com/gb/app/clean-up-3d/id1465580173?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/8dc6e95982a659adad2ab1f98d3ce34898a4e7c62331446587e74111c666e631.jpg,4.5,1.9K Ratings
Microsoft Teams,Business,https://apps.apple.com/gb/app/microsoft-teams/id1113153706?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/0fa5c28dfc2278362a64d6486c49cf39d51a3087d402adacd6b8672db3068008.jpg,4.7,33.7K Ratings
"eBay: Buy, sell and save money",Shopping,https://apps.apple.com/gb/app/ebay-buy-sell-and-save-money/id282614216?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/f0201aa63b99fe3e94d179452dac0c9414eaaed9ca397bf1bfa35a340fb53be1.jpg,4.7,843.9K Ratings
Trainline: Book Train Tickets,Travel,https://apps.apple.com/gb/app/trainline-book-train-tickets/id334235181?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/8ad5d32d3733a1a10eecbb7f8cab5090c8d3b46289cb417fe85d8c47a45705bf.jpg,4.6,18.7K Ratings
Microsoft Word,Productivity,https://apps.apple.com/gb/app/microsoft-word/id586447913?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/e3b19c9b8894f8f5563aafe0d7fdd173e3e462c313ebcb53bb3c0e410f8836e0.jpg,4.6,145K Ratings
Uphill Run,Games,https://apps.apple.com/gb/app/uphill-run/id1462705399?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/b00bf22cf146a681325fcd0b2a5ed573d03b51ea6e1274761ace34c58dafaa29.jpg,4.7,398 Ratings
BBC iPlayer,Entertainment,https://apps.apple.com/gb/app/bbc-iplayer/id416580485?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/1e48fddc94779564189b6ee7ae66f07955cb34fc7a626629e30c0a767e7be923.jpg,3.3,8.1K Ratings
Perfect Paint,Games,https://apps.apple.com/gb/app/perfect-paint/id1475655474?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/62662be8bf02999b016652f2c3c004f2c6aa3fcd0378448935d200383c87e827.jpg,4.4,1.3K Ratings
B&M Stores,Shopping,https://apps.apple.com/gb/app/b-m-stores/id1259809378?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/357248607e2e4a0c50961cc266f88878385ea8e4b7893b0fc9df6a305af7926a.jpg,3.1,103 Ratings
UNiDAYS: Student Discounts,Shopping,https://apps.apple.com/gb/app/unidays-student-discounts/id599608562?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/6c733206132d01938f8e01cfeb5d0cc438915e626d7455899f0834eb70e3d634.jpg,4.8,200.1K Ratings
Fun Race 3D,Games,https://apps.apple.com/gb/app/fun-race-3d/id1462556579?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/ca5bda62512732cf71a7680565d39ff0725d8a6dd3f8475ce46132ac6e4bc1f3.jpg,4.5,45.6K Ratings
Granny: Chapter Two,Games,https://apps.apple.com/gb/app/granny-chapter-two/id1479175321?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/7a46fd301f865f90e4bf46ce1d0d98cd0201465ae034249d820a6c1108a35693.jpg,4.6,173 Ratings
Amazon,Shopping,https://apps.apple.com/gb/app/amazon/id335187483?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/55566e9ed32f9d0db36637775a44f2a8a5ee0a7940cf166e2382cc00a83568bf.jpg,3.0,11.3K Ratings
Google Classroom,Education,https://apps.apple.com/gb/app/google-classroom/id924620788?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/76e1d061c3deaf2f5b10235f9729e28c2c1187e0ce1c20084af6eee7fd360b3c.jpg,4.5,6.7K Ratings
Netflix,Entertainment,https://apps.apple.com/gb/app/netflix/id363590051?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/e37ca51ac91e5b518468403326beb89b58d2524bba4a70739d3b5fac21118731.jpg,4.0,20.4K Ratings
Wish - Shopping Made Fun,Shopping,https://apps.apple.com/gb/app/wish-shopping-made-fun/id530621395?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/8f64f59a380ff1eb1a6f4002fbc088d5ff7ac38ade6b692ef638b544e2ea0f5d.jpg,4.6,188.7K Ratings
My McDonald’s freshly prepared,Food & Drink,https://apps.apple.com/gb/app/my-mcdonalds-freshly-prepared/id1082476620?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/699211edc92dd777d27fc2d04d8161b33390ef8ed8b04e73693b7c53f7e2288d.jpg,4.3,8K Ratings
Collect Cubes,Games,https://apps.apple.com/gb/app/collect-cubes/id1465222322?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/06e73c3f74b6750b0e1e0f235415d4882989c61251f38fb919e2d4c57d025dff.jpg,4.5,7.9K Ratings
Spotify New Music and Podcasts,Music,https://apps.apple.com/gb/app/spotify-new-music-and-podcasts/id324684580?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/25910b4c3b81fec9c966f583f5dc317259681d7c5ab2b2e95bf577c15d1e6ea3.jpg,4.7,1.6M Ratings
Google Maps - Transit & Food,Navigation,https://apps.apple.com/gb/app/google-maps-transit-food/id585027354?uo=4&v0=WWW-EUUK-ITSTOP100-FREEAPPS&l=en,/autopush/uk/itunes/charts/free-apps/images/2019/9/ae32336e5df4a44bb0c95be74f7642247b0d459a783f1af70f71f3bc62381e42.jpg,4.7,348K Ratings
